patronal,institución,Agrupacion de Acuedo ley de Presupuesto,Agrupacion por Órganos del Estado,Agrupacion por areas de gestión
306040132,HOSPITAL NACIONAL MONSE¥OR OSCAR ARNULFO ROMERO Y GALDAMEZ CIUDAD BARRIOS,Gobierno Central,Órgano Ejecutivo,Salud
808030029,HOSPITAL NACIONAL NUESTRA SENORA DE FATIMA,Gobierno Central,Órgano Ejecutivo,Salud
501030136,HOSPITAL NACIONAL PSIQUIATRICO DR JOSE  MOLINA MARTINEZ,Gobierno Central,Órgano Ejecutivo,Salud
901030317,HOSPITAL NACIONAL ROSALES,Gobierno Central,Órgano Ejecutivo,Salud
101060314,HOSPITAL NACIONAL SAN BARTOLO ENFERMERA ANGELICA VIDAL DE NAJARRO,Gobierno Central,Órgano Ejecutivo,Salud
506060090,HOSPITAL NACIONAL SAN JUAN DE DIOS      DE SAN MIGUEL,Gobierno Central,Órgano Ejecutivo,Salud
804060024,HOSPITAL NACIONAL SAN PEDRO USULUTAN,Gobierno Central,Órgano Ejecutivo,Salud
702050358,HOSPITAL NACIONAL SAN RAFAEL,Gobierno Central,Órgano Ejecutivo,Salud
209050029,HOSPITAL NACIONAL SANTA GERTRUDIS SAN VICENTE,Gobierno Central,Órgano Ejecutivo,Salud
14040016,HOSPITAL NACIONAL SANTA ROSA DE LIMA,Gobierno Central,Órgano Ejecutivo,Salud
805050048,HOSPITAL NACIONAL SANTA TERESA,Gobierno Central,Órgano Ejecutivo,Salud
204030008,HOSPITAL NACIONAL SANTIAGO DE MARIA,Gobierno Central,Órgano Ejecutivo,Salud
713060028,HOSPITAL NACIONAL SENSUNTEPEQUE,Gobierno Central,Órgano Ejecutivo,Salud
508030031,HOSPITAL NACIONAL SUCHITOTO,Gobierno Central,Órgano Ejecutivo,Salud
110140039,HOSPITAL NACIONAL FRANCISCO MENENDEZ,Gobierno Central,Órgano Ejecutivo,Salud
311140159,HOSPITAL NACIONAL DE CHALCHUAPA (ACTIVO A LA FECHA),Gobierno Central,Órgano Ejecutivo,Salud
11140166,HOSPITAL NACIONAL DE SANTA ANA (ACTIVO A LA FECHA),Gobierno Central,Órgano Ejecutivo,Salud
501020237,UNIDAD COORDINADORA DE PROGRAMA PROYECTO MODERNIZACION MINISTERIO SALUD,Gobierno Central,Órgano Ejecutivo,Salud
